Unique #,Length,Tagging_Location,Freq,Code,Freq_Code,Survey,Date,Sig,Status,Latitude,Longitude,Date_Original,Notes,Survey_Period,Use,Located_1,Located_2,Located_3
12,330,Colville,151.4,12,400_12,0,7/23/2019,0,Tagged,69.3675,-152.0869,7/27/2019, ,Tagging 2019,1,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,1,10/18/2019,53,TM,69.3517,-152.1608,10/18/2019, ,Fall 2019,0,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,2,4/25/2020,188,TM,69.3492,-152.1506,4/25/2020, ,Winter 2020,0,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,3,6/3/2020,26,TM,69.3571,-152.1679,6/3/2020, ,Spring 2020,0,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,3,6/3/2020,37,TM,69.3521,-152.1437,6/12/2020, ,Spring 2020,0,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,4,7/30/2020,24,TM,69.3531,-152.1506,7/30/2020, ,Summer 2020,0,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,4,7/30/2020,13,TM,69.3519,-152.1419,8/11/2020, ,Summer 2020,0,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,5,10/11/2020,23,TM,69.3508,-152.1386,10/11/2020, ,Fall 2020,0,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,6,4/15/2021,48,TM,69.3675,-152.1664,4/15/2021, ,Winter 2021,0,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,7,6/14/2021,18,TM,69.3565,-152.1452,6/14/2021, ,Spring 2021,0,Colville US Anaktuvuk,Upper Colville,Colville
12,330,Colville,151.4,12,400_12,8,8/13/2021,31,TM,69.3553,-152.1267,8/13/2021, ,Summer 2021,0,Colville US Anaktuvuk,Upper Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,0,7/23/2019,0,Tagged,69.604,-152.7196,7/24/2019, ,Tagging 2019,1,Kikiakrorak,Kikiakrorak,Kikiakrorak
13,343,Kikiakrorak,151.4,13,400_13,1,10/18/2019,71,A,69.9687,-151.5975,10/18/2019,Colville between kik and kog,Fall 2019,1,Colville DS Anaktuvuk,Middle Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,2,4/25/2020,50,A,70.0782,-151.5017,4/25/2020,Big bend,Winter 2020,1,NFA,Lower Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,3,6/3/2020,81,A,69.901,-151.5307,6/3/2020,Colville upstream of Kog mouth,Spring 2020,0,Colville DS Anaktuvuk,Middle Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,3,6/3/2020,66,A,69.7542,-151.4654,6/12/2020,Colville between Anktuvak and Kik,Spring 2020,1,Colville DS Anaktuvuk,Middle Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,4,7/30/2020,79,D,69.7811,-151.5198,7/30/2020, ,Summer 2020,1,Colville DS Anaktuvuk,Middle Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,4,7/30/2020,75,DD,69.7759,-151.498,8/11/2020, ,Summer 2020,0,Colville DS Anaktuvuk,Middle Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,5,10/11/2020,109,DD,69.7861,-151.5258,10/11/2020, ,Fall 2020,0,Colville DS Anaktuvuk,Middle Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,6,4/15/2021,116,DD,69.7849,-151.5163,4/15/2021, ,Winter 2021,0,Colville DS Anaktuvuk,Middle Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,7,6/14/2021,64,DD,69.7887,-151.5075,6/14/2021, ,Spring 2021,0,Colville DS Anaktuvuk,Middle Colville,Colville
13,343,Kikiakrorak,151.4,13,400_13,8,8/13/2021,85,DD,69.7845,-151.5198,8/13/2021, ,Summer 2021,0,Colville DS Anaktuvuk,Middle Colville,Colville
14,345,Kikiakrorak,151.4,14,400_14,0,7/23/2019,0,Tagged,69.6679,-152.6031,7/24/2019, ,Tagging 2019,1,Kikiakrorak,Kikiakrorak,Kikiakrorak
14,345,Kikiakrorak,151.4,14,400_14,1,10/18/2019,104,A,69.897,-151.7553,10/18/2019,Downstream lower Kik,Fall 2019,1,Kikiakrorak,Kikiakrorak,Kikiakrorak
14,345,Kikiakrorak,151.4,14,400_14,3,6/3/2020,86,A,70.0119,-151.5626,6/3/2020,DS of Kik,Spring 2020,0,NFA,Lower Colville,Colville
